"filename", "language", "Markdown", "PostCSS", "HTML", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-vinculacion\cuidador-vinculacion.controller.js", "JavaScript", 0, 0, 0, 45, 0, 0, 7, 52
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-vinculacion\cuidador-vinculacion.dom.js", "JavaScript", 0, 0, 0, 83, 0, 0, 7, 90
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-vinculacion\cuidador-vinculacion.modal.js", "JavaScript", 0, 0, 0, 126, 0, 0, 25, 151
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-vinculacion\cuidador-vinculacion.topbar.js", "JavaScript", 0, 0, 0, 72, 0, 0, 14, 86
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\cuidador-vinculacion\cuidador-vinculacion.utils.js", "JavaScript", 0, 0, 0, 84, 0, 0, 16, 100
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-cuidador\dashboard-cuidador.controller.js", "JavaScript", 0, 0, 0, 25, 0, 0, 6, 31
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-cuidador\dashboard-cuidador.data.js", "JavaScript", 0, 0, 0, 176, 0, 1, 29, 206
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-cuidador\dashboard-cuidador.dom.js", "JavaScript", 0, 0, 0, 236, 0, 0, 48, 284
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-cuidador\dashboard-cuidador.events.js", "JavaScript", 0, 0, 0, 87, 0, 0, 22, 109
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-cuidador\dashboard-cuidador.state.js", "JavaScript", 0, 0, 0, 49, 0, 0, 2, 51
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-cuidador\dashboard-cuidador.utils.js", "JavaScript", 0, 0, 0, 71, 0, 0, 15, 86
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-paciente\dashboard-paciente.controller.js", "JavaScript", 0, 0, 0, 69, 0, 0, 11, 80
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-paciente\dashboard-paciente.daily.js", "JavaScript", 0, 0, 0, 244, 0, 7, 42, 293
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-paciente\dashboard-paciente.data.js", "JavaScript", 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-paciente\dashboard-paciente.dom.js", "JavaScript", 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-paciente\dashboard-paciente.events.js", "JavaScript", 0, 0, 0, 32, 0, 0, 8, 40
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\dashboard-paciente\dashboard-paciente.state.js", "JavaScript", 0, 0, 0, 27, 0, 0, 2, 29
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\paciente-medicinas\medicamentos.alarma.js", "JavaScript", 0, 0, 0, 131, 0, 3, 21, 155
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\paciente-medicinas\medicamentos.controller.js", "JavaScript", 0, 0, 0, 90, 0, 3, 17, 110
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\paciente-medicinas\medicamentos.modal.js", "JavaScript", 0, 0, 0, 125, 0, 0, 22, 147
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\paciente-medicinas\medicamentos.render.js", "JavaScript", 0, 0, 0, 42, 0, 0, 5, 47
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\paciente-medicinas\medicamentos.state.js", "JavaScript", 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\paciente-medicinas\paciente-medicinas.page-controller.js", "JavaScript", 0, 0, 0, 28, 0, 0, 8, 36
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\paciente-medicinas\paciente-medicinas.topbar.js", "JavaScript", 0, 0, 0, 46, 0, 0, 10, 56
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\paciente\paciente.controller.js", "JavaScript", 0, 0, 0, 12, 0, 0, 5, 17
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-cuidador\perfil-cuidador.actions.js", "JavaScript", 0, 0, 0, 105, 0, 0, 22, 127
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-cuidador\perfil-cuidador.controller.js", "JavaScript", 0, 0, 0, 40, 0, 0, 8, 48
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-cuidador\perfil-cuidador.data.js", "JavaScript", 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-cuidador\perfil-cuidador.dom.js", "JavaScript", 0, 0, 0, 70, 0, 0, 14, 84
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-cuidador\perfil-cuidador.events.js", "JavaScript", 0, 0, 0, 35, 0, 0, 9, 44
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-cuidador\perfil-cuidador.state.js", "JavaScript", 0, 0, 0, 50, 0, 0, 2, 52
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-cuidador\perfil-cuidador.topbar.js", "JavaScript", 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-paciente\perfil-paciente.actions.js", "JavaScript", 0, 0, 0, 223, 0, 0, 44, 267
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-paciente\perfil-paciente.controller.js", "JavaScript", 0, 0, 0, 132, 0, 5, 27, 164
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-paciente\perfil-paciente.data.js", "JavaScript", 0, 0, 0, 29, 0, 0, 10, 39
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-paciente\perfil-paciente.dom.js", "JavaScript", 0, 0, 0, 82, 0, 0, 13, 95
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-paciente\perfil-paciente.edit.js", "JavaScript", 0, 0, 0, 60, 0, 0, 16, 76
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-paciente\perfil-paciente.state.js", "JavaScript", 0, 0, 0, 65, 0, 0, 6, 71
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\features\perfil-paciente\perfil-paciente.tags.js", "JavaScript", 0, 0, 0, 91, 0, 0, 10, 101
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\guards\guard.js", "JavaScript", 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\alarmas.page.js", "JavaScript", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\cuidador-alarmas.page.js", "JavaScript", 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\cuidador-medicinas.page.js", "JavaScript", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\cuidador-vinculacion.page.js", "JavaScript", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\dashboard-cuidador.page.js", "JavaScript", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\dashboard-paciente.page.js", "JavaScript", 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\index.js", "JavaScript", 0, 0, 0, 106, 0, 0, 23, 129
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\paciente-medicinas.page.js", "JavaScript", 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\angel\OneDrive\Documentos\MediTrackWebApp\js\pages\perfil-cuidador.page.js", "JavaScript", 0, 0, 0, 6, 0, 0, 3, 9
